domain,specification,repeat,fold,n_train,n_test,train_prompts,test_prompts,r2,rmse,mae
pooled,H+E,18,1,1191,299,399,100,0.24638176417379887,0.5134851478717419,0.36002712363070466
pooled,H+E,18,2,1192,298,399,100,0.17859337003370213,0.4482776930966911,0.33561312919766284
pooled,H+E,18,3,1191,299,399,100,0.11434945654814299,0.5281754175512173,0.3342207972040632
pooled,H+E,18,4,1194,296,400,99,0.1976633053695106,0.5165283078940235,0.35563889141678273
pooled,H+E,19,0,1191,299,399,100,0.08818177414269635,0.5319052730766165,0.34725921200849025
pooled,H+E,19,1,1191,299,399,100,0.2901895875772106,0.43388931909637646,0.32870766557457
pooled,H+E,19,2,1193,297,399,100,0.24461833518770204,0.4415020687812187,0.3315373815151082
pooled,H+E,19,3,1190,300,399,100,0.23785276990909865,0.4691207167030955,0.34515363142603905
pooled,H+E,19,4,1195,295,400,99,0.2079000266288894,0.5394811169837818,0.3587874595006893
pooled,H+D,0,0,1191,299,399,100,0.2521562676436624,0.4941157214877426,0.33549333126701464
pooled,H+D,0,1,1191,299,399,100,0.20250888917993815,0.447582820001295,0.340868904645814
pooled,H+D,0,2,1191,299,399,100,0.22081231812611524,0.5338065272371512,0.3669170232696507
pooled,H+D,0,3,1192,298,399,100,0.28660383457793326,0.4280212215749724,0.30693814114293433
pooled,H+D,0,4,1195,295,400,99,0.2721068432189083,0.4645297952565451,0.3329773831905423
pooled,H+D,1,0,1190,300,399,100,0.27716923743920363,0.4121681418305988,0.3202067301166679
pooled,H+D,1,1,1195,295,399,100,0.3493844529988137,0.41138794035205994,0.3132897375329881
pooled,H+D,1,2,1192,298,399,100,0.23948625962177028,0.45498018522959116,0.3298038211955281
pooled,H+D,1,3,1190,300,399,100,0.2077298016589466,0.5475595420215649,0.37185737825817805
pooled,H+D,1,4,1193,297,400,99,0.22547349381970772,0.5230586425558298,0.34429224361723143
pooled,H+D,2,0,1191,299,399,100,0.23270431005494618,0.5333246842780814,0.3537544939374736
pooled,H+D,2,1,1190,300,399,100,0.19948717731405607,0.4471083101425399,0.3387252837774671
pooled,H+D,2,2,1193,297,399,100,0.33796636760726706,0.45577610981957895,0.33570280861882895
pooled,H+D,2,3,1192,298,399,100,0.21979910589798457,0.4962161852741199,0.3387097118393027
