domain,specification,predictors,n,n_prompt_groups,cv_r2_mean,cv_r2_sd_across_repeats,cv_r2_boot_ci_low,cv_r2_boot_ci_high,cv_rmse,cv_mae,cv_spearman,cv_pearson,in_sample_r2,in_sample_adj_r2,fold_r2_min,fold_r2_max
health,E+D+F,E+D+F,415,140,0.25818156158926564,0.02960838470018848,-0.08145796717699941,0.39051240423715733,0.3460967413541758,0.18928456657774398,0.08462425326949352,0.5113184484914053,0.31880649702905983,0.31383428167890703,-4.862019937798063,0.4902580543971854
health,H+E+D+F,H+E+D+F,415,140,0.2562024095219765,0.029393307489964667,-0.08901385780575671,0.39026132298582483,0.3465593725517829,0.18986003398804227,0.08280473418229198,0.5097331646139073,0.3197888603865401,0.3131526541464088,-4.844190955284471,0.4910278757780543
pooled,H_only,H+dom_health+dom_mental_health,1490,499,0.22072726584172941,0.0023604222325910302,0.16216408549115222,0.27973907651635616,0.4839315476763934,0.34161917665080876,0.4553788518806668,0.4698900640055553,0.2292787251968098,0.22772276030824345,0.08789921008254853,0.36040518038531244
pooled,E_only,E+dom_health+dom_mental_health,1490,499,0.18001707622157104,0.00357460526964828,0.1290574682501384,0.23566271536638914,0.4964106524472963,0.34516183373199005,0.36226878982044775,0.4244249234647799,0.18799567855672183,0.18635636969781888,0.049185965640136775,0.3035731640408764
pooled,D_only,D+dom_health+dom_mental_health,1490,499,0.23476490916436826,0.005046441544094313,0.1891101780183414,0.2857334266091526,0.47955107114068357,0.33737393374550534,0.4725204676603535,0.4846562448478081,0.24475950259825563,0.24323479096150913,0.15039100525968674,0.3732958135867852
pooled,F_only,F+dom_health+dom_mental_health,1490,499,0.4706759837009695,0.0025957732658000777,0.4083530564266052,0.5268975349805232,0.39884047731680294,0.3053369719718599,0.6728621663080893,0.6860944894311883,0.4792551246594463,0.47820382275768203,0.2949762830551813,0.5890080746605542
pooled,H+E,H+E+dom_health+dom_mental_health,1490,499,0.2187979604841786,0.0031040367336076465,0.15656146718924782,0.2793883127025625,0.48452984960785817,0.3416594856220815,0.45437072718100413,0.46789432724348823,0.22994370649369655,0.2278694807872822,0.07031173706114802,0.3614685071658543
pooled,H+D,H+D+dom_health+dom_mental_health,1490,499,0.2546135141477268,0.004258284837542395,0.20866313599439204,0.2974034904122615,0.47329153993139395,0.3364554712612978,0.48150938609687044,0.5047842538949299,0.2695061176370692,0.2675384573478762,0.153026994603623,0.37222565560944665
pooled,H+F,H+F+dom_health+dom_mental_health,1490,499,0.4841090164042866,0.002240594403461572,0.41758013138646305,0.5441732720891478,0.39374736785047665,0.3017493056809092,0.6764064910790164,0.6958123079999056,0.4936312537744856,0.4922672975556963,0.2937510432684144,0.6138729585182379
pooled,H+E+D,H+E+D+dom_health+dom_mental_health,1490,499,0.26877951752403845,0.004187401303294503,0.21799979075504022,0.3163169590530289,0.4687725248046061,0.335920812045398,0.49630903478746874,0.5186176927214062,0.2838810301461999,0.28146823038254154,0.15838845456990303,0.39605945667350706
pooled,H+E+F,H+E+F+dom_health+dom_mental_health,1490,499,0.48441054900311664,0.002276010460193897,0.4184626454282173,0.5413666125478858,0.39363225094090915,0.3017516230307435,0.6744703881547677,0.6960394465245044,0.4955330180900589,0.4938333314933273,0.29970355403313176,0.6105615815798981
pooled,H+D+F,H+D+F+dom_health+dom_mental_health,1490,499,0.4996282746396755,0.003045942094770025,0.43980718603469793,0.5520198231771306,0.3877788679144226,0.2989889600989329,0.6778514531674955,0.7068802053890009,0.5113164799544512,0.5096699721375861,0.3234754118652987,0.626411227951513
pooled,E+D+F,E+D+F+dom_health+dom_mental_health,1490,499,0.49163288902643043,0.0037159410057179118,0.4369252288136454,0.5406534845250377,0.39086397231556697,0.30085357992414513,0.676879448348591,0.7012157773862099,0.5027205204698314,0.5010450505253228,0.33111899059156946,0.606147956867784
pooled,H+E+D+F,H+E+D+F+dom_health+dom_mental_health,1490,499,0.49905510117364454,0.002941609156059072,0.43881503075113326,0.5520614395297109,0.3880010227948039,0.29900936150638796,0.677716378004171,0.7064844224051959,0.5115977758353292,0.5096217722311565,0.32257727336793396,0.6272347228175429
